customer_id,email,first_name,last_name,total_payments,total_spent,_merge
1,MARY.SMITH@sakilacustomer.org,MARY,SMITH,32,118.68,right_only
1,MARY.SMITH@sakilacustomer.org,MARY,SMITH,64,237.36,left_only
2,PATRICIA.JOHNSON@sakilacustomer.org,PATRICIA,JOHNSON,27,128.73,right_only
2,PATRICIA.JOHNSON@sakilacustomer.org,PATRICIA,JOHNSON,54,257.46,left_only
3,LINDA.WILLIAMS@sakilacustomer.org,LINDA,WILLIAMS,26,135.74,right_only
3,LINDA.WILLIAMS@sakilacustomer.org,LINDA,WILLIAMS,52,271.48,left_only
4,BARBARA.JONES@sakilacustomer.org,BARBARA,JONES,22,81.78,right_only
4,BARBARA.JONES@sakilacustomer.org,BARBARA,JONES,44,163.56,left_only
5,ELIZABETH.BROWN@sakilacustomer.org,ELIZABETH,BROWN,38,144.62,right_only
5,ELIZABETH.BROWN@sakilacustomer.org,ELIZABETH,BROWN,76,289.24,left_only
6,JENNIFER.DAVIS@sakilacustomer.org,JENNIFER,DAVIS,28,93.72,right_only
6,JENNIFER.DAVIS@sakilacustomer.org,JENNIFER,DAVIS,56,187.44,left_only
7,MARIA.MILLER@sakilacustomer.org,MARIA,MILLER,33,151.67,right_only
7,MARIA.MILLER@sakilacustomer.org,MARIA,MILLER,66,303.34,left_only
8,SUSAN.WILSON@sakilacustomer.org,SUSAN,WILSON,24,92.76,right_only
8,SUSAN.WILSON@sakilacustomer.org,SUSAN,WILSON,48,185.52,left_only
9,MARGARET.MOORE@sakilacustomer.org,MARGARET,MOORE,23,89.77,right_only
9,MARGARET.MOORE@sakilacustomer.org,MARGARET,MOORE,46,179.54,left_only
10,DOROTHY.TAYLOR@sakilacustomer.org,DOROTHY,TAYLOR,25,99.75,right_only
10,DOROTHY.TAYLOR@sakilacustomer.org,DOROTHY,TAYLOR,50,199.5,left_only
11,LISA.ANDERSON@sakilacustomer.org,LISA,ANDERSON,24,106.76,right_only
11,LISA.ANDERSON@sakilacustomer.org,LISA,ANDERSON,48,213.52,left_only
12,NANCY.THOMAS@sakilacustomer.org,NANCY,THOMAS,28,103.72,right_only
12,NANCY.THOMAS@sakilacustomer.org,NANCY,THOMAS,56,207.44,left_only
13,KAREN.JACKSON@sakilacustomer.org,KAREN,JACKSON,27,131.73,right_only
13,KAREN.JACKSON@sakilacustomer.org,KAREN,JACKSON,54,263.46,left_only
14,BETTY.WHITE@sakilacustomer.org,BETTY,WHITE,28,117.72,right_only
14,BETTY.WHITE@sakilacustomer.org,BETTY,WHITE,56,235.44,left_only
15,HELEN.HARRIS@sakilacustomer.org,HELEN,HARRIS,32,134.68,right_only
